RCT_ID,Title,Primary Investigator,DOI Number,First registered on,RCT_ID_num
AEARCTR-0000052,Giving Girls a Voice: Adolescents' Aspirations in India,Rebecca Thornton,10.1257/rct.52-2.0,2014-08-11,52
AEARCTR-0000053,"Changing Beliefs, Changing Bribes",Jeffrey Weaver,10.1257/rct.53-2.0,2014-04-24,53
AEARCTR-0000058,Ultra-Poor Graduation Pilot in Honduras,Dean Karlan,10.1257/rct.58-1.0,2013-09-25,58
AEARCTR-0000059,Returns to Consulting for Women Entrepreneurs,Dean Karlan,10.1257/rct.59-1.0,2013-12-17,59
AEARCTR-0000060,Understanding the role of peer pressure in shaping students educational investments,Robert Jensen,10.1257/rct.60-1.0,2014-02-12,60
AEARCTR-0000061,Ultra-Poor Graduation Pilot in Peru,Dean Karlan,10.1257/rct.61-1.0,2013-09-25,61
AEARCTR-0000062,Self-Control and Chronic Illness: Theory and Evidence From a Field Experiment,Liang Bai,10.1257/rct.62-3.0,2013-10-04,62
AEARCTR-0000064,Recruiting and Compensating Civil Servants: A Large-Scale Field Experiment in Zambia (CHWs),Nava Ashraf,10.1257/rct.64-1.0,2017-04-27,64
AEARCTR-0000065,The Impact of Mother Literacy and Participation Programs on Child Learning: Evidence from a Randomized Evaluation in India,James Berry,10.1257/rct.65-1.0,2013-12-22,65
AEARCTR-0000066,The Evaluation of the Preparing for Life Early Childhood Intervention Programme,Orla Doyle,10.1257/rct.66-2.1,2013-09-02,66
AEARCTR-0000067,Understanding smallholder arbitrage in Kenyan maize markets,Marshall Burke,10.1257/rct.67-1.0,2013-09-06,67
AEARCTR-0000068,Can Incentives Create a Habit of Saving?  ,Gharad Bryan,10.1257/rct.68-1.0,2014-01-24,68
AEARCTR-0000069,The Impact of Exporting: Evidence from a Randomized Experiment in Egypt,David Atkin,10.1257/rct.69-3.0,2013-09-16,69
AEARCTR-0000072,Evaluation of a school-based gender sensitization campaign in India,Seema Jayachandran,10.1257/rct.72-12.0,2014-02-26,72
AEARCTR-0000073,The effect of gender-equity programs on maternal and child health in Uganda,Seema Jayachandran,10.1257/rct.73-6.0,2013-09-18,73
AEARCTR-0000074,Negotiating a Better Future: How Interpersonal Skills Facilitate Inter-Generational Investment,Nava Ashraf,10.1257/rct.74-1.0,2017-05-24,74
AEARCTR-0000076,Yalla Watheefa Impact Evaluation,David McKenzie,10.1257/rct.76-2.0,2013-09-24,76
AEARCTR-0000078,Evaluating a Nationwide Business Plan Competition,David McKenzie,10.1257/rct.78-2.0,2013-09-24,78
AEARCTR-0000079,Information Campaign Experiment - Intervention to fight anemia and improve well-being in a very low income setting,Sharon Barnhardt,10.1257/rct.79-1.0,2013-10-08,79
AEARCTR-0000080,Starting a Lifetime of Savings (SaLSa) - Uganda,Dean Karlan,10.1257/rct.80-1.0,2014-01-08,80
AEARCTR-0000081,Smoothing the Cost of Education: Primary School Saving in Uganda,Dean Karlan,10.1257/rct.81-1.0,2014-01-08,81
AEARCTR-0000082,Moving Beyond Conditional Cash Transfers in the Dominican Republic,Dean Karlan,10.1257/rct.82-1.0,2014-10-06,82
AEARCTR-0000083,Testing the Impact of Access to Basic Bank Accounts: A Randomized Field Experiment in three countries,Pascaline Dupas,10.1257/rct.83-2.0,2016-05-27,83
AEARCTR-0000086,Freedom From Hunger Savings Training Evaluation,Santosh Anagol,10.1257/rct.86-1.0,2013-10-04,86
AEARCTR-0000087,Increasing Savings for Vulnerable Women's Empowerment (iSAVE),Kelly Jones,10.1257/rct.87-1.0,2013-10-09,87
AEARCTR-0000088,Ghana Graduation from Ultra Poverty,Dean Karlan,10.1257/rct.88-1.0,2013-11-22,88
AEARCTR-0000089,Retailer Experiment - Intervention to fight anemia and improve well-being in a very low income setting,Sharon Barnhardt,10.1257/rct.89-1.0,2013-10-28,89
AEARCTR-0000096,Transparency in anti-poverty programs,Rema Hanna,10.1257/rct.96-2.0,2014-03-20,96
AEARCTR-0000097,Effective Targeting of Anti-Poverty Programs in Indonesia,Rema Hanna,10.1257/rct.97-1.0,2013-11-20,97
AEARCTR-0000099,Effective Targeting of Anti-Poverty Programs II,Rema Hanna,10.1257/rct.99-1.0,2013-11-20,99
AEARCTR-0000102,Saving for Change,Dean Karlan,10.1257/rct.102-1.0,2013-11-13,102
AEARCTR-0000103,Evaluating The Hunger Project Epicenter Scale-up Strategy,Dean Karlan,10.1257/rct.103-1.0,2014-01-08,103
AEARCTR-0000104,After-School Khan Academy Program in Cape Town,Lucas Crowley,10.1257/rct.104-2.0,2013-11-11,104
AEARCTR-0000105,Mitigating Aflatoxin Exposure to Improve Child Growth in Eastern Kenya (MAICE),Kelly Jones,10.1257/rct.105-4.0,2013-11-06,105
AEARCTR-0000106,Do Information Technologies Improve Teenagers' Sexual Education? Evidence from a Randomized Evaluation in Colombia,Dean Karlan,10.1257/rct.106-1.0,2016-05-18,106
AEARCTR-0000107,Evaluating the Efficacy of School-based Financial Education Programs,Dean Karlan,10.1257/rct.107-1.0,2014-01-08,107
AEARCTR-0000109,Voucher Experiment - Intervention to fight anemia and improve well-being in a very low income setting,Sharon Barnhardt,10.1257/rct.109-1.0,2013-11-21,109
AEARCTR-0000111,Hey Look at Me: The Effect of Giving Circles on Giving,Dean Karlan,10.1257/rct.111-1.0,2017-04-12,111
AEARCTR-0000113,The effect of deep respiratory exercise on oxygenation of patients under major abdominal surgery,Ehsan Jangholi,10.1257/rct.113-1.0,2013-11-14,113
AEARCTR-0000114,Save More Later and Particularly after Your Next Birthday: The Effect of Procrastination on Retirement Savings,Ting Zhang,10.1257/rct.114-1.0,2013-11-23,114
AEARCTR-0000115,Empowering Women through Public Policy: Can Gender-Sensitive Policy Reform to a Major Public Works Program Encourage Female Work and Improve Women's Wellbeing?,Rohini Pande,10.1257/rct.115-6.1,2014-07-09,115
AEARCTR-0000116,The Impact of Improved Access to Formal Financial Institutions in Rural Tamil Nadu: Evidence from a Randomized Control Trial,Rohini Pande,10.1257/rct.116-5.0,2013-11-26,116
AEARCTR-0000125,Randomized Evaluation of Post-Secondary Financial Aid and Support Services,Josh Angrist,10.1257/rct.125-3.1,2013-11-23,125
AEARCTR-0000128,Distance Learning for Marginalized Girls in Ghana,Christopher Ksoll,10.1257/rct.128-1.0,2014-06-27,128
AEARCTR-0000129,SOCNET,Rafael Lalive,10.1257/rct.129-1.0,2013-11-20,129
AEARCTR-0000130,"Food Constraints, Yield Uncertainty and “Ganyu” Labour",Günther Fink,10.1257/rct.130-4.0,2013-11-21,130
AEARCTR-0000132,Welfare benefits of decentralized Solar energy for the rural poor,Nicholas Ryan,10.1257/rct.132-1.1,2014-06-06,132
AEARCTR-0000133,Commercial Viability of Malaria Control: The Outgrower Opportunity,Richard Sedlmayr,10.1257/rct.133-3.0,2013-12-15,133
AEARCTR-0000136,Evaluating the CSWEP Mentoring Program for Female Junior Faculty in Economics,Francine Blau,10.1257/rct.136-1.0,2013-12-02,136
AEARCTR-0000137,Mixed Method Evaluation of a Passive mHealth Sexual Information Texting Service in Uganda,Dean Karlan,10.1257/rct.137-1.0,2016-06-01,137
AEARCTR-0000139,(Ineffective) Messages to Encourage Recycling: Evidence from a Randomized Evaluation in Peru,Dean Karlan,10.1257/rct.139-1.0,2016-05-18,139
AEARCTR-0000140,Evaluation of the Sustainability and Effectiveness of Inquiry-Based Advanced Placement Science Courses: Evidence from an In-Depth Formative Evaluation & Randomized Controlled Study,Mark Long,10.1257/rct.140-3.0,2013-11-22,140
AEARCTR-0000144,Save More Later and Particularly after Your Next Birthday: The Effect of Procrastination on Retirement Savings,Hengchen Dai,10.1257/rct.144-1.0,2013-11-24,144
AEARCTR-0000145,The Cognitive Link between in Utero Nutrition and Schooling: Experimental Evidence from Tanzania,Plamen Nikolov,10.1257/rct.145-3.0,2014-03-10,145
AEARCTR-0000148,Aspirations and Financial Decisions: Evidence from the Philippines,Dean Yang,10.1257/rct.148-1.0,2021-01-31,148
AEARCTR-0000150,Girl's Economic Empowerment: a Randomized Experiment in Tanzanian Schools,Bertil Tungodden,10.1257/rct.150-1.0,2013-12-03,150
AEARCTR-0000151,Increasing the Development Impact of Migrant Remittances: A Field Experiment on Educational Finance by Migrant Workers,Dean Yang,10.1257/rct.151-1.0,2013-12-06,151
AEARCTR-0000155,The Returns to Investments in Equipment Upgrades at Vocational Education Schools: Evidence from a RCT in Mongolia,Leigh Linden,10.1257/rct.155-1.0,2015-03-30,155
AEARCTR-0000156,Labor Regulation and Demand for Workers in South Africa,Bruno Crepon,10.1257/rct.156-1.1,2014-01-29,156
AEARCTR-0000159,Direct and Indirect Impacts of Credit Scoring for Small and Medium Enterprises,Dean Karlan,10.1257/rct.159-1.0,2014-03-12,159
AEARCTR-0000161,Assessment of the Impact of Receiving Eyeglasses on Productivity in Handicraft Weaving in Rwanda,Paul Glewwe,10.1257/rct.161-1.0,2013-12-20,161
AEARCTR-0000162,Evaluating Agricultural Training in Armenia,Kenneth Fortson,10.1257/rct.162-1.0,2013-12-07,162
AEARCTR-0000165,Impact of Microcredit in the Philippines,Dean Karlan,10.1257/rct.165-3.0,2014-03-13,165
AEARCTR-0000167,The Impact of Providing Eyeglasses on Academic Outcomes of Disadvantaged Students:  Evidence from a Randomized Trial in Florida Elementary Schools,Paul Glewwe,10.1257/rct.167-4.0,2013-12-10,167
AEARCTR-0000168,Land Property Rights and Agricultural Investment in the Philippines: Experimental Evidence on Impacts and Mechanisms,Snaebjorn Gunnsteinsson,10.1257/rct.168-2.2,2013-12-16,168
AEARCTR-0000169,"Early Childhood Development in the Slums of Cuttack, Odisha, India.",Orazio Attanasio,10.1257/rct.169-2.0,2014-01-23,169
AEARCTR-0000170,THE IMPACT OF VCT AND CONDOM DISTRIBUTION AS HIV PREVENTION STRATEGIES AMONG YOUTH IN KENYA,Esther  Duflo,10.1257/rct.170-1.0,2013-12-17,170
AEARCTR-0000171,MCC-CDD Philippines,Amanda Beatty,10.1257/rct.171-9.0,2013-12-22,171
AEARCTR-0000172,"Structured Study Time, Self-Efficacy, and Tutoring",Esther  Duflo,10.1257/rct.172-8.0,2014-01-14,172
AEARCTR-0000173,Impact of financial literacy education on personal financial decision making,Shawn Cole,10.1257/rct.173-2.0,2014-05-14,173
AEARCTR-0000175,Returns to Consulting for SMEs,Dean Karlan,10.1257/rct.175-1.0,2014-07-08,175
AEARCTR-0000179,Performance based contracts in healthcare: experimental evaluation of contracting based on inputs and outcomes,Manoj Mohanan,10.1257/rct.179-6.0,2013-12-18,179
AEARCTR-0000180,Study on mhealth and Reproductive Health in Teens (SMART),Slawa Rokicki,10.1257/rct.180-4.0,2014-02-01,180
AEARCTR-0000183,Selective Trials for Agricultural Technology Evaluation and Adoption,Pascaline Dupas,10.1257/rct.183-1.0,2013-12-31,183
AEARCTR-0000184,Evaluation of the Teach For America Investing in Innovation Scale-Up,Melissa Clark,10.1257/rct.184-2.0,2013-12-28,184
AEARCTR-0000186,Benefit Offset National Demonstration (BOND) Implementation and Evaluation,David Wittenburg,10.1257/rct.186-1.0,2013-12-30,186
AEARCTR-0000187,The Effect of Adjuvant Zinc Therapy on Recovery from Pneumonia in Hospitalized Children: A Double-Blind Randomized Controlled Trial,Ehsan Jangholi,10.1257/rct.187-1.0,2013-12-30,187
AEARCTR-0000188,Reversing the Summer Slide:  A random assignment study of a summer learning program,Duncan Chaplin,10.1257/rct.188-1.0,2013-12-30,188
AEARCTR-0000190,Disseminating Innovative Resources and Technologies to Smallholders (DIRTS),Christopher Udry,10.1257/rct.190-1.0,2014-05-21,190
AEARCTR-0000191,Evaluation of Roads to Success,Duncan Chaplin,10.1257/rct.191-1.0,2014-01-23,191
AEARCTR-0000194,Business Registration Impact Evaluation,Francisco Campos,10.1257/rct.194-1.0,2014-01-03,194
AEARCTR-0000196,Targeting and Peer Effects in Training Programmes for Poor Females,Jeanne Lafortune,10.1257/rct.196-1.0,2014-01-07,196
AEARCTR-0000198,Evaluation of a counseling program for young college drop-outs,Philippe Zamora,10.1257/rct.198-2.0,2014-01-05,198
AEARCTR-0000200,Involving Parents in their Children’s Education- FCAP,Francisco Gallego,10.1257/rct.200-1.0,2014-10-06,200
AEARCTR-0000201,Evaluating the impact of driver's licenses on the employability of low-skilled youth (Pilot),Grant Bridgman,10.1257/rct.201-1.0,2014-01-07,201
AEARCTR-0000204,"Empowerment of Adolescent Girls: Education, Health, and Delayed Marriage",Rachel Glennerster,10.1257/rct.204-4.0,2014-01-15,204
AEARCTR-0000205,Changing Behavior to Improve Household Financial Management in Malawi,Stacy Pancratz,10.1257/rct.205-3.0,2014-01-27,205
AEARCTR-0000210,Private vs. Public Mental Accounts: Experimental Evidence from Savings Groups in Colombia,Luz Magdalena Salas,10.1257/rct.210-3.0,2014-01-08,210
AEARCTR-0000211,Using Cultural Ceremonies to Reduce Intimate Partner Violence and HIV Transmission ,Vandana Sharma,10.1257/rct.211-5.0,2014-01-13,211
AEARCTR-0000215,Social Identity and Aspirations,Priya Mukherjee,10.1257/rct.215-2.0,2014-01-14,215
AEARCTR-0000217,African Health Markets for Equity (AHME) IMPACT EVALUATION,PAUL GERTLER,10.1257/rct.217-2.0,2014-02-11,217
AEARCTR-0000218,"The effect of acute stress on productivity, time preference, and risk preference",Chaning Jang,10.1257/rct.218-1.0,2014-01-14,218
AEARCTR-0000219,De-Biasing Financial Biases: Experimental Evidence from South Africa,Bilal Zia,10.1257/rct.219-1.0,2014-01-15,219
AEARCTR-0000220," Early childhood, primary school, and cognition in a second best world: Evidence from a large-scale preschool construction experiment in Cambodia ",Deon Filmer,10.1257/rct.220-1.0,2014-05-14,220
AEARCTR-0000221,"Biochar, Soil Carbon, Social Learning, and Technology Adoption",Andrew Crane-Droesch,10.1257/rct.221-1.0,2014-01-17,221
AEARCTR-0000222,Intensive Tutoring to Fight Early-Age School Difficulties,Marc Gurgand,10.1257/rct.222-2.0,2014-08-13,222
AEARCTR-0000223,Stay the Course: Evaluating an Intervention to Promote Community College Persistence and Graduation Rates,James Sullivan,10.1257/rct.223-2.1,2014-02-27,223
AEARCTR-0000225,Getting Parents Involved: A Field Experiment in Deprived Schools,Francesco Avvisati,10.1257/rct.225-1.0,2014-08-13,225
AEARCTR-0000227,Growth Vouchers,Michael  Sanders,10.1257/rct.227-1.0,2014-01-28,227
AEARCTR-0000229,Information on Education Tax Credits & College Enrollment Decisions,Dayanand Manoli,10.1257/rct.229-1.0,2014-01-28,229
AEARCTR-0000230,Information on Tax Refunds & Tax-filing Decisions,Dayanand Manoli,10.1257/rct.230-1.0,2014-01-28,230
AEARCTR-0000231,Bringing Parents to the Education Table,Marc Gurgand,10.1257/rct.231-2.0,2014-03-12,231
AEARCTR-0000234,Barriers to Enrollment in Health Insurance Programs ,Tara Watson,10.1257/rct.234-1.1,2014-01-31,234
AEARCTR-0000237,Promoting Non-Cognitive Skills Through a Science and Technology Program in Chile (Chile Va),Francisco Gallego,10.1257/rct.237-1.0,2014-10-07,237
AEARCTR-0000239,The Impact of Voucher Coupons on the Uptake of Fertilizer and  Improved Seeds: Evidence from a Randomized Trial in Mozambique,Dean Yang,10.1257/rct.239-1.0,2016-03-14,239
AEARCTR-0000241,Evaluation of the Electronic Health Records Demonstration,Lorenzo Moreno,10.1257/rct.241-2.0,2014-02-07,241
AEARCTR-0000247,Transfer Modality Research Initiative - Bangladesh,John Hoddinott,10.1257/rct.247-1.0,2014-03-18,247
AEARCTR-0000250,Managerial Capital and Business Transformation in an Emerging Market: The Impact of Marketing versus Finance Skills Training for Entrepreneurs,Stephen Anderson-Macdonald,10.1257/rct.250-1.0,2014-02-12,250
AEARCTR-0000251,Measuring the Unmeasured: Combining Technology and Survey Design to Filter Noise in Self-Reported Business Outcomes,Stephen Anderson-Macdonald,10.1257/rct.251-1.0,2014-02-12,251
AEARCTR-0000252,Tax Farming Redux: Experimental Evidence on Incentive Pay for Tax Collectors,Benjamin Olken,10.1257/rct.252-1.0,2014-10-19,252
AEARCTR-0000253,Collection of Delinquent Fines: Assessing the Effectiveness of Alternative Text Messages in the United Kingdom,Donald Green,10.1257/rct.253-1.0,2014-02-25,253
AEARCTR-0000256, Opportunities to Improve the Expansion and Impact of Agricultural Lending in Mali  ,Lori Beaman,10.1257/rct.256-1.0,2016-07-08,256
AEARCTR-0000262,An Experimental Study of the Value of Postsecondary Credentials in the Labor Market,David Deming,10.1257/rct.262-4.0,2014-03-30,262
AEARCTR-0000266,Communication for Development (C4D) Impact Evaluation,Dean Karlan,10.1257/rct.266-1.0,2014-10-01,266
AEARCTR-0000268,Heterogeneous quality of agricultural commercial inputs and learning through experimentation,Karen Macours,10.1257/rct.268-2.0,2014-02-17,268
AEARCTR-0000276,Evaluating the Impact of Working from Home on Productivity and Work-Life Balance in China,Nicholas Bloom,10.1257/rct.276-1.0,2017-04-12,276
AEARCTR-0000277,Impact Evaluation of the Reducing the Risk Program,Robert Wood,10.1257/rct.277-6.0,2014-02-21,277
AEARCTR-0000278,Impact Evaluation of the Wise Guys Program,Robert Wood,10.1257/rct.278-1.0,2014-02-21,278
AEARCTR-0000280,Mobile-izing Savings: Evaluating a Phone-Based Defined-Contribution Account in Afghanistan,Joshua Blumenstock,10.1257/rct.280-1.0,2014-02-24,280
AEARCTR-0000282,Impact Evaluation of the Steps to Success Program,Robert Wood,10.1257/rct.282-1.0,2014-02-21,282
AEARCTR-0000284,Impact Evaluation of the Teen Choice Program,Robert Wood,10.1257/rct.284-1.0,2014-02-21,284
AEARCTR-0000285,What's behind her smile? A randomized evaluation of dental care vouchers and socioeconomic outcomes,Francisco Gallego,10.1257/rct.285-1.0,2014-10-07,285
AEARCTR-0000286,Reducing Parent-Child Information Frictions ,PETER BERGMAN,10.1257/rct.286-2.0,2014-02-22,286
AEARCTR-0000287,Unpacking the determinants of entrepreneurship development and economic empowerment for women,David McKenzie,10.1257/rct.287-4.0,2014-02-21,287
AEARCTR-0000289,Do workers intend to work more if their wage compares well to that of their peers in the economy? A large-scale survey experiment,Jindi Zheng,10.1257/rct.289-1.0,2014-06-06,289
AEARCTR-0000290,The Causal Effects of the Peer Assisted Study Sessions (PASS) on Educational Outcomes,Peter Siminski,10.1257/rct.290-1.0,2014-02-26,290
AEARCTR-0000291,Promoting Early Grade Reading & Numeracy in Tanzania,Karthik Muralidharan,10.1257/rct.291-2.1,2015-02-09,291
AEARCTR-0000293,Public Parks Upgrading and Individual and Social Outcomes: Experimental Evidence,Francisco Gallego,10.1257/rct.293-1.0,2014-10-06,293
AEARCTR-0000297,Apprentice Labor and Firm Output: Evidence from a random match experiment,Jamie McCasland,10.1257/rct.297-1.2,2014-03-07,297
AEARCTR-0000300,Empowering Adolescent Girls: Evidence from a Randomized Control Trial in Sierra Leone,Imran Rasul,10.1257/rct.300-3.0,2014-03-04,300
AEARCTR-0000301,Early Grade Reading Promotion for Indigenous Communities,Steven Glazerman,10.1257/rct.301-1.0,2014-04-16,301
AEARCTR-0000303,The Impacts of Microfinance: Evidence from Joint-Liability Lending in Mongolia,Ralph De Haas,10.1257/rct.303-3.0,2014-03-21,303
AEARCTR-0000304,Microfinance and Poverty Alleviation: Experimental Evidence from Bosnia and Herzegovina,Ralph De Haas,10.1257/rct.304-2.0,2014-03-21,304
AEARCTR-0000305,The Impacts of Microcredit: Evidence from Ethiopia,Alessandro Tarozzi,10.1257/rct.305-1.0,2014-03-08,305
AEARCTR-0000308,Adjusting Your Dreams?  High School Plans and Dropout Behavior,Marc Gurgand,10.1257/rct.308-1.0,2014-09-05,308
AEARCTR-0000313,Digital Green Methodology Evaluation,Kathryn Vasilaky,10.1257/rct.313-5.1,2014-03-18,313
AEARCTR-0000314,Interactions between Exponential Growth Bias and Procrastination:  Evidence from Retirement Savings,Gopi Goda,10.1257/rct.314-3.0,2014-07-29,314
AEARCTR-0000317,The Heterogeneous Impact of Conditional Cash Transfers,Sebastian Galiani,10.1257/rct.317-4.0,2014-05-30,317
AEARCTR-0000318,Promoting Handwashing Behavior in Peru: The Effect of Large-Scale Mass-Media and Community Level Interventions,Sebastian Galiani,10.1257/rct.318-1.0,2014-06-03,318
AEARCTR-0000319,Paycheck commitment device,Todd Rogers,10.1257/rct.319-1.0,2014-03-18,319
AEARCTR-0000320,Deadlines and Family Planning,Margaret McConnell,10.1257/rct.320-2.0,2014-03-21,320
AEARCTR-0000323,Increasing Savings for Vulnerable Women’s Empowerment (iSAVE) Analysis Plan  [Effects of Labeled Mobile Savings Accounts on Savings Behavior],Erick Gong,10.1257/rct.323-3.0,2014-04-18,323
AEARCTR-0000325,Evaluating the Social and Economic Impact of Microcredit on Individual Borrowers & Their Communities in Mexico,Dean Karlan,10.1257/rct.325-1.0,2016-07-26,325
AEARCTR-0000327,Testing Referrals for Peer Screening and Influencing Repayment,Dean Karlan,10.1257/rct.327-1.0,2016-07-26,327
AEARCTR-0000329,Health Care Hotspotting: A Randomized Controlled Trial,Amy Finkelstein,10.1257/rct.329-4.2,2014-03-31,329
AEARCTR-0000330,Economic and Health Impacts of Hospitalization and Maternity Insurance in India,Esther  Duflo,10.1257/rct.330-3.0,2014-04-28,330
AEARCTR-0000331,Effective Delivery of Health Products in Ghana,Pascaline Dupas,10.1257/rct.331-3.0,2014-05-19,331
AEARCTR-0000332,Project Generasi: Conditional community block grants in Indonesia,Benjamin Olken,10.1257/rct.332-3.0,2014-05-15,332
AEARCTR-0000333,Impact Evaluation for Community-Based Health and Nutrition to Reduce Stunting Project under the Indonesia Compact,Amanda Beatty,10.1257/rct.333-5.0,2014-09-28,333
AEARCTR-0000334,Household Dynamics and Family Planning in Jordan,Marianne El-Khoury,10.1257/rct.334-1.0,2014-05-21,334
AEARCTR-0000336,Study Supporter Pilot,Todd Rogers,10.1257/rct.336-1.0,2014-04-02,336
AEARCTR-0000337,A cost-benefit analysis of different uses of technologies and pedagogical approaches in education,Matias Busso,10.1257/rct.337-1.0,2014-04-08,337
AEARCTR-0000338,Economic and Financial Models for Pricing and Setting Sanitation Tariffs for the Benefit of the Urban Poor (Ghana),Molly Lipscomb,10.1257/rct.338-1.0,2014-10-15,338
AEARCTR-0000340,Financial Inclusion for the Rural Poor ,PAUL GERTLER,10.1257/rct.340-3.0,2014-10-12,340
AEARCTR-0000342,Financial Education vs. Access to Finance in Transnational Households,Dean Yang,10.1257/rct.342-4.0,2014-05-07,342
AEARCTR-0000343,The Causal Effect of Competition on Prices and Quality,Matias Busso,10.1257/rct.343-1.0,2014-04-04,343
AEARCTR-0000344,Market Structuring of Sludge Management for the Benefit of Vulnerable Households in Dakar (Demand-side Trial),Molly Lipscomb,10.1257/rct.344-3.0,2014-08-12,344
AEARCTR-0000346,Testing the Effectiveness of Mobile Phone Data Collection for Microenterprises in Africa,Robert Garlick,10.1257/rct.346-2.0,2014-04-07,346
